Name,Link to profile,Post content,Link to post,source_topic,clean_content,source,importance,chunk_id,investors,funding_amount,funding_amount_pretty,funding_stage
Valthos,,"We develop frontier AI systems that identify biological threats and design medical countermeasures in real time. Our founding team comes from Palantir, DeepMind, the Broad Institute, and the Arc Institute.",https://valthos.com/,Biotech,"We develop frontier AI systems that identify biological threats and design medical countermeasures in real time. Our founding team comes from Palantir, DeepMind, the Broad Institute, and the Arc Institute.",Startups Gallery,1.0,,"Founders Fund, Lux Capital, Openai Startup Fund",30000000.0,$30M,Seed
Tensormesh,,"Tensormesh is the next-generation AI infrastructure company helping teams maximize GPU efficiency and accelerate large language model inference. Built on the open-source LMCache project, Tensormesh’s caching-based optimizations deliver up to 10× faster inference at a fraction of the cost. Backed by Laude Ventures and leading angels",https://www.tensormesh.ai/,AI,"Tensormesh is the next-generation AI infrastructure company helping teams maximize GPU efficiency and accelerate large language model inference. Built on the open-source LMCache project, Tensormesh’s caching-based optimizations deliver up to 10× faster inference at a fraction of the cost. Backed by Laude Ventures and leading angels",Startups Gallery,1.0,,Laude Ventures,4500000.0,$4.5M,Seed
Natural,,"Legacy payment systems are built around human-to-human interaction, though agents will soon be responsible for a majority of global transaction volume. Natural is building the payments infrastructure for this agent economy — making it easy for agents to send, receive, and manage payments with businesses, consumers, and other agents.",https://www.natural.co/,Fintech,"Legacy payment systems are built around human-to-human interaction, though agents will soon be responsible for a majority of global transaction volume. Natural is building the payments infrastructure for this agent economy — making it easy for agents to send, receive, and manage payments with businesses, consumers, and other agents.",Startups Gallery,1.0,,"Abstract Ventures, Forerunner Ventures, Human Capital, Terrain",9800000.0,$9.8M,Seed
Wonder Studios,,"Backed by LocalGlobe and Blackbird, Wonder Studios is an AI-native film studio that empowers emerging talent and produces original content. We're building an ecosystem that empowers a community of AI filmmakers, traditional creatives, and technologists, to build a new era of storytelling.",https://wonderstudios.com/,Design,"Backed by LocalGlobe and Blackbird, Wonder Studios is an AI-native film studio that empowers emerging talent and produces original content. We're building an ecosystem that empowers a community of AI filmmakers, traditional creatives, and technologists, to build a new era of storytelling.",Startups Gallery,1.0,,"Atomico, Blackbird, Localglobe",12000000.0,$12M,Seed
Chainguard,,"Founded by the industry's leading experts on open source software, security and cloud native development, we provide secure container images with low-to-no CVEs.",https://www.chainguard.dev/,Cybersecurity,"Founded by the industry's leading experts on open source software, security and cloud native development, we provide secure container images with low-to-no CVEs.",Startups Gallery,1.0,,"Amplify Partners, Ivp, Kleiner Perkins, Lightspeed Venture Partners, Mantis Vc, Redpoint Ventures, Sequoia Capital, Spark Capital",356000000.0,$356M,Series D
Generation Lab,,"Generation Lab aims to extend the human healthspan with the first test based on clinically relevant biological evidence that measures individuals’ biological age progression and risk of disease so everyone can live longer, healthier lives.",https://www.generationlab.com/,Health & Wellness,"Generation Lab aims to extend the human healthspan with the first test based on clinically relevant biological evidence that measures individuals’ biological age progression and risk of disease so everyone can live longer, healthier lives.",Startups Gallery,1.0,,Accel,11000000.0,$11M,Seed
ShopMy,,"hopMy is a premium, all-in-one, creator-centric ecosystem connecting top brands and influential creators. Our comprehensive solution streamlines partnerships with effortless seeding, affiliate, and paid—driven by direct communication and transparent analytics.",https://shopmy.us/home,Consumer,"hopMy is a premium, all-in-one, creator-centric ecosystem connecting top brands and influential creators. Our comprehensive solution streamlines partnerships with effortless seeding, affiliate, and paid—driven by direct communication and transparent analytics.",Startups Gallery,1.0,,"Avenir, Bain Capital Ventures, Bessemer Venture Partners, Menlo Ventures",70000000.0,$70M,Series B
Augment Market,,"Augment is a fintech platform building the modern marketplace and financial infrastructure for private investing. Through its seamless digital platform, accredited investors and institutions can buy and sell shares of leading pre-IPO companies from $10K to $100M.",https://www.augment.market/,Fintech,"Augment is a fintech platform building the modern marketplace and financial infrastructure for private investing. Through its seamless digital platform, accredited investors and institutions can buy and sell shares of leading pre-IPO companies from $10K to $100M.",Startups Gallery,1.0,,"Builders Vc, Neo",12000000.0,$12M,Series A
Starbridge,,"The first AI-powered go-to-market platform built for public sector sales teams. Monitor hundreds of thousands of government agencies & schools in real time for bids, meeting discussions, contract expirations, grants, budgets, procurement rules and contact data.",https://starbridge.ai/,Productivity,"The first AI-powered go-to-market platform built for public sector sales teams. Monitor hundreds of thousands of government agencies & schools in real time for bids, meeting discussions, contract expirations, grants, budgets, procurement rules and contact data.",Startups Gallery,1.0,,Craft Ventures,42000000.0,$42M,Series A
Seneca,,Seneca is a resilience technology and infrastructure company. We create autonomous drones and AI-driven software to support firefighters and protect the things we love. Our mission is to eliminate wildfire threat across 500 million acres in the US and allied nations.,https://seneca.com/,Hardware,Seneca is a resilience technology and infrastructure company. We create autonomous drones and AI-driven software to support firefighters and protect the things we love. Our mission is to eliminate wildfire threat across 500 million acres in the US and allied nations.,Startups Gallery,1.0,,"Caffeinated Capital, Dcvc, First Round Capital, Nextview Ventures, Offline Ventures, Slow Ventures, Stepstone Group",60000000.0,$60M,Series A
Bronto,,"We are redefining log management with a scalable, cost-effective solution designed to handle data at petabyte scale. Built for modern enterprise needs, Bronto lets you ingest logs from any source, search and visualize them with lightning speed, and manage vast amounts of data effortlessly.",https://www.bronto.io/,DevTools,"We are redefining log management with a scalable, cost-effective solution designed to handle data at petabyte scale. Built for modern enterprise needs, Bronto lets you ingest logs from any source, search and visualize them with lightning speed, and manage vast amounts of data effortlessly.",Startups Gallery,1.0,,"Cercano, Heavybit",14000000.0,$14M,Seed
Arbor Energy,,"Founded by former SpaceX veterans who pivoted from building technology to explore new planets to protecting our own, Arbor leverages cutting-edge aerospace technology to tackle climate change. Our mission is to bring gigawatts of clean, dependable baseload power online while removing gigatons of legacy carbon emissions.",https://arbor.co/,Energy,"Founded by former SpaceX veterans who pivoted from building technology to explore new planets to protecting our own, Arbor leverages cutting-edge aerospace technology to tackle climate change. Our mission is to bring gigawatts of clean, dependable baseload power online while removing gigatons of legacy carbon emissions.",Startups Gallery,1.0,,"Cantos, Lowercarbon Capital, Voyager Ventures",55000000.0,$55M,Series A
Anrok,,"Anrok is the modern sales tax solution for the Internet era. Built specifically for SaaS businesses, Anrok unifies sales tax monitoring, calculation and remittance across your financial stack.",https://www.anrok.com/,Fintech,"Anrok is the modern sales tax solution for the Internet era. Built specifically for SaaS businesses, Anrok unifies sales tax monitoring, calculation and remittance across your financial stack.",Startups Gallery,1.0,,"Chemistry, Index Ventures, Khosla Ventures, Sapphire Ventures, Sequoia Capital, Spark Capital",55000000.0,$55M,Series C
Sesame AI,,"Sesame believes in a future where computers are lifelike - with the ability to see, hear, and collaborate with us in ways that feel natural and human. With this vision, they're designing a new kind of computer, focused on making voice companions part of our daily lives. Co-founded by Oculus co-creator Brendan Iribe.",https://www.sesame.com/,AI,"Sesame believes in a future where computers are lifelike - with the ability to see, hear, and collaborate with us in ways that feel natural and human. With this vision, they're designing a new kind of computer, focused on making voice companions part of our daily lives. Co-founded by Oculus co-creator Brendan Iribe.",Startups Gallery,1.0,,"Andreessen Horowitz, Matrix Partners, Sequoia Capital, Spark Capital",250000000.0,$250M,Series B
Keycard,,"Keycard is on a mission to redefine machine identity for the Internet—helping developers seamlessly connect people, agents, and services across networks, clouds, and applications. As AI-driven workflows grow more complex, Keycard’s dynamic, identity-based credentials ensure every agent and service operates with precise, contextual permissions.",https://www.keycard.ai/,AI,"Keycard is on a mission to redefine machine identity for the Internet—helping developers seamlessly connect people, agents, and services across networks, clouds, and applications. As AI-driven workflows grow more complex, Keycard’s dynamic, identity-based credentials ensure every agent and service operates with precise, contextual permissions.",Startups Gallery,1.0,,"Andreessen Horowitz, Acrew Capital, Boldstart Ventures, Essence Venture Capital, Mantis Vc",38000000.0,$38M,Series A
LangChain,,"LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying.",https://www.langchain.com/?ref=startups.gallery,DevTools,"LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying.",Startups Gallery,1.0,,"Amplify Partners, Benchmark, Ivp, Sequoia Capital",125000000.0,$125M,Series B
Tempo,,"Tempo is a layer-1 blockchain purpose-built for stablecoins and real-world payments, born from Stripe’s experience in global payments and Paradigm’s expertise in crypto tech. Tempo’s payment-first design provides a scalable, low-cost predictable backbone that meets the needs of high-volume payment use cases. Our goal is to move money reliably, cheaply, and at scale.",https://tempo.xyz/,Web3,"Tempo is a layer-1 blockchain purpose-built for stablecoins and real-world payments, born from Stripe’s experience in global payments and Paradigm’s expertise in crypto tech. Tempo’s payment-first design provides a scalable, low-cost predictable backbone that meets the needs of high-volume payment use cases. Our goal is to move money reliably, cheaply, and at scale.",Startups Gallery,1.0,,"Greenoaks, Paradigm, Ribbit Capital, Sequoia Capital, Stripe, Sv Angel, Thrive Capital",500000000.0,$500M,Series A
General Intuition,,"Researchers trained the world’s most powerful foundation models on words. But human intelligence far exceeds the origin of language; it emerged over millennia of interaction, exploration, and the ceaseless negotiation of intent, action, and consequences in unbounded environments.",https://www.generalintuition.com/,AI,"Researchers trained the world’s most powerful foundation models on words. But human intelligence far exceeds the origin of language; it emerged over millennia of interaction, exploration, and the ceaseless negotiation of intent, action, and consequences in unbounded environments.",Startups Gallery,1.0,,"General Catalyst, Khosla Ventures, Raine",134000000.0,$134M,Seed
Strella,,"Strella is an end-to-end customer research platform that uses AI to deliver human insights 10x faster, so teams can make smarter decisions in hours, not weeks. No more trading off between high-quality research and speed.",https://www.strella.io/,AI,"Strella is an end-to-end customer research platform that uses AI to deliver human insights 10x faster, so teams can make smarter decisions in hours, not weeks. No more trading off between high-quality research and speed.",Startups Gallery,1.0,,"645 Ventures, Bessemer Venture Partners, Decibel Partners, Mvp Ventures",14000000.0,$14M,Series A
Daylight,,"Daylight is the decentralized energy company, built for the people who power it. They transform everyday homes into mini power plants, helping families lower their energy bills, stay powered during outages, and earn rewards for supporting a more reliable grid. As the energy system strains to meet growing demand, Daylight sends excess energy from homes back into the system, reducing pressure on aging infrastructure and reinforcing local resilience. With seamless home upgrades, an intuitive energy management platform, and a growing decentralized network, Daylight is building the future of energy from the ground up.",https://godaylight.com/,Energy,"Daylight is the decentralized energy company, built for the people who power it. They transform everyday homes into mini power plants, helping families lower their energy bills, stay powered during outages, and earn rewards for supporting a more reliable grid. As the energy system strains to meet growing demand, Daylight sends excess energy from homes back into the system, reducing pressure on aging infrastructure and reinforcing local resilience. With seamless home upgrades, an intuitive energy management platform, and a growing decentralized network, Daylight is building the future of energy from the ground up.",Startups Gallery,1.0,,"Andreessen Horowitz, Framework Ventures, Lerer Hippeau, M13",75000000.0,$75M,Venture
Osmosis,,Osmosis is a forward-deployed reinforcement learning platform that helps companies train task-specific AI models that outperform foundation models at a fraction of the cost.,https://osmosis.ai/,AI,Osmosis is a forward-deployed reinforcement learning platform that helps companies train task-specific AI models that outperform foundation models at a fraction of the cost.,Startups Gallery,1.0,,"Audacious Ventures, Crv, Y Combinator",7000000.0,$7M,Seed
Clerk,,"Clerk is a full stack auth and user management solution — so you can launch faster, scale easier, and stay focused on building your business.",https://clerk.com/?ref=startups.gallery,DevTools,"Clerk is a full stack auth and user management solution — so you can launch faster, scale easier, and stay focused on building your business.",Startups Gallery,1.0,,"Andreessen Horowitz, Anthology Fund, Crv, Georgian, Madrona, Menlo Ventures, Stripe",50000000.0,$50M,Series C
Campfire,,"Campfire is the AI-native ERP for mid-size and enterprise companies to close fast and scale faster. Features include a powerful general ledger, invoicing, billing, revenue accounting and reporting, financial statements, AI-powered conversational reporting, and automated accounting workflows such as bank reconciliation.",https://meetcampfire.com/,Fintech,"Campfire is the AI-native ERP for mid-size and enterprise companies to close fast and scale faster. Features include a powerful general ledger, invoicing, billing, revenue accounting and reporting, financial statements, AI-powered conversational reporting, and automated accounting workflows such as bank reconciliation.",Startups Gallery,1.0,,"Accel, Foundation Capital, Ribbit Capital, Twenty Two, Y Combinator",65000000.0,$65M,Series B
Good Start Labs,,"Good Start teaches AI models to play games in order to generate high-quality reinforcement learning data for frontier labs. The company builds custom game environments and partners with popular existing games, allowing millions of players to naturally evaluate and train AI models just by playing.",https://goodstartlabs.com/,AI,"Good Start teaches AI models to play games in order to generate high-quality reinforcement learning data for frontier labs. The company builds custom game environments and partners with popular existing games, allowing millions of players to naturally evaluate and train AI models just by playing.",Startups Gallery,1.0,,"General Catalyst, Inovia Capital",3600000.0,$3.6M,Seed
Dedalus Labs,,Dedalus Labs is building the infrastructure layer that makes building and streaming non-linear agents equipped with tools as easy as writing one function call.,https://www.dedaluslabs.ai/,AI,Dedalus Labs is building the infrastructure layer that makes building and streaming non-linear agents equipped with tools as easy as writing one function call.,Startups Gallery,1.0,,"Emergence Capital, Kindred Ventures, Liquid 2 Ventures, Saga Ventures, Y Combinator",11000000.0,$11M,Seed
Marble Health,,"Marble Health is a tech-first mental health platform that connects students to high-quality, affordable therapy through their schools. By partnering with school counselors, Marble identifies students in need and matches them with licensed therapists, online or in person, with care covered by insurance.",https://www.marblehealth.com/,Health & Wellness,"Marble Health is a tech-first mental health platform that connects students to high-quality, affordable therapy through their schools. By partnering with school counselors, Marble identifies students in need and matches them with licensed therapists, online or in person, with care covered by insurance.",Startups Gallery,1.0,,"Costanoa Ventures, Khosla Ventures, Lorimer Ventures",15500000.0,$15.5M,Series A
Finch (Legal),,"Finch is the first AI-powered pre-litigation team for personal injury. They combine exceptional legal operators with AI agents to manage cases from intake to outcome: automating client intake, records retrieval, insurance communications, and demand preparation with unprecedented speed and accuracy.",https://www.finchlegal.com/,AI,"Finch is the first AI-powered pre-litigation team for personal injury. They combine exceptional legal operators with AI agents to manage cases from intake to outcome: automating client intake, records retrieval, insurance communications, and demand preparation with unprecedented speed and accuracy.",Startups Gallery,1.0,,,20000000.0,$20M,Series A
Flint,,"Flint is the first autonomous website platform. We’re building a future where sites can observe, reason and act on their own, adapting in real time to the needs and desires of people and AI agents alike.",https://www.tryflint.com/,DevTools,"Flint is the first autonomous website platform. We’re building a future where sites can observe, reason and act on their own, adapting in real time to the needs and desires of people and AI agents alike.",Startups Gallery,1.0,,"Accel, Neo, Sandberg Bernthal Venture Partners",5000000.0,$5M,Seed
ClarityCare,,"Streamline, comply, and save 50-70% in UM operational costs at outset safely with ClarityCare's AI-powered system, which reduces your administrative burden and lets you focus on patient care.",https://www.claritycare.ai/,Healthcare,"Streamline, comply, and save 50-70% in UM operational costs at outset safely with ClarityCare's AI-powered system, which reduces your administrative burden and lets you focus on patient care.",Startups Gallery,1.0,,Maverick Capital,3500000.0,$3.5M,Seed
Inference,,"At inference.net, we empower developers and startups to seamlessly integrate advanced AI capabilities into their applications. Our API is fully compatible with OpenAI’s, ensuring a smooth transition without code changes.",https://inference.net/,DevTools,"At inference.net, we empower developers and startups to seamlessly integrate advanced AI capabilities into their applications. Our API is fully compatible with OpenAI’s, ensuring a smooth transition without code changes.",Startups Gallery,1.0,,"Andreessen Horowitz, Ambush Capital, Founders Inc, Multicoin Capital, Topology Ventures",11800000.0,$11.8M,Seed
Flow,,"Flow is a next-generation Requirements Platform that helps hardware teams design, build, test, and iterate faster — bringing real-time collaboration, continuous integration and automated testing to hardware development.",https://flowengineering.com/,Hardware,"Flow is a next-generation Requirements Platform that helps hardware teams design, build, test, and iterate faster — bringing real-time collaboration, continuous integration and automated testing to hardware development.",Startups Gallery,1.0,,"Eqt Ventures, Seedcamp, Sequoia Capital",23000000.0,$23M,Series A
Reducto,,"Reducto turns unstructured documents—like PDFs, images, and spreadsheets—into clean, structured data ready for any workflow. Our multi-pass parsing system combines OCR and vision-language models to deliver state of the art accuracy, reliability, and scalability.",https://reducto.ai/,DevTools,"Reducto turns unstructured documents—like PDFs, images, and spreadsheets—into clean, structured data ready for any workflow. Our multi-pass parsing system combines OCR and vision-language models to deliver state of the art accuracy, reliability, and scalability.",Startups Gallery,1.0,,"Andreessen Horowitz, Benchmark, Boxgroup, First Round Capital, Liquid 2 Ventures, Sv Angel, Y Combinator",75000000.0,$75M,Series B
Airbound,,"Airbound is building the world's most advanced drones to reduce the cost of delivery by over 137x. By improving structural efficiency by 7x and aerodynamics by 6x, their drones create a world where no delivery costs more than a nickel.",https://www.airbound.com/,Aerospace,"Airbound is building the world's most advanced drones to reduce the cost of delivery by over 137x. By improving structural efficiency by 7x and aerodynamics by 6x, their drones create a world where no delivery costs more than a nickel.",Startups Gallery,1.0,,"Humba Ventures, Lachy Groom, Lightspeed Venture Partners",8600000.0,$8.6M,Seed
Strawberry,,"A browser that puts AI superpowers into your daily workflows. Strawberry helps you research hundreds of websites in parallel, write content that matches your voice, and automate repetitive tasks - from data entry to meeting follow-ups.",https://strawberrybrowser.com/,Productivity,"A browser that puts AI superpowers into your daily workflows. Strawberry helps you research hundreds of websites in parallel, write content that matches your voice, and automate repetitive tasks - from data entry to meeting follow-ups.",Startups Gallery,1.0,,"Eqt Ventures, General Catalyst",6000000.0,$6M,Seed
Clove,,"Clove is building the financial institution for a new generation - rethinking wealth management from first principles. We combine human financial advisers with AI-powered tools to deliver high-quality, milestone-based advice at scale. Founded by the founder of Paddle.",https://www.clove.com/,Fintech,"Clove is building the financial institution for a new generation - rethinking wealth management from first principles. We combine human financial advisers with AI-powered tools to deliver high-quality, milestone-based advice at scale. Founded by the founder of Paddle.",Startups Gallery,1.0,,"Accel, Kindred Ventures",14000000.0,$14M,Pre-Seed
Alleviate Health,,Clinical trials recruitment is the largest bottleneck in drug development and site revenue growth. Alleviate Health accelerates recruitment speed with conversational AI that pre-screens patients over SMS that allows sites to drastically improve their output.,https://alleviatehealth.care/,Healthcare,Clinical trials recruitment is the largest bottleneck in drug development and site revenue growth. Alleviate Health accelerates recruitment speed with conversational AI that pre-screens patients over SMS that allows sites to drastically improve their output.,Startups Gallery,1.0,,"Andreessen Horowitz, Alt Capital",4300000.0,$4.3M,Seed
Reflection,,"Frontier open intelligence accessible to all. Our team previously built frontier LLMs at labs like DeepMind, OpenAI, and Anthropic.",https://www.reflection.ai/,AI,"Frontier open intelligence accessible to all. Our team previously built frontier LLMs at labs like DeepMind, OpenAI, and Anthropic.",Startups Gallery,1.0,,"Crv, Lightspeed Venture Partners, Nventures, Sequoia Capital",2000000000.0,$2B,Series B
Vulcan Technologies,,Vulcan Technologies is the AI legal cartography company helping governments and businesses navigate the complex landscape of American law. They replace expensive consultants and slow bureaucratic processes with AI tools that empower elected officials to actualize the public will and interest.,https://vulcan-tech.com/,AI,Vulcan Technologies is the AI legal cartography company helping governments and businesses navigate the complex landscape of American law. They replace expensive consultants and slow bureaucratic processes with AI tools that empower elected officials to actualize the public will and interest.,Startups Gallery,1.0,,"General Catalyst, Y Combinator",10900000.0,$10.9M,Seed
Kernel,,"Launch browsers instantly — Kernel is the best place in the world to deploy and scale AI web agents. Compatible with Playwright/Puppeteer, LLM Computer Use agents, and all web agent frameworks.",https://www.onkernel.com/,DevTools,"Launch browsers instantly — Kernel is the best place in the world to deploy and scale AI web agents. Compatible with Playwright/Puppeteer, LLM Computer Use agents, and all web agent frameworks.",Startups Gallery,1.0,,"Accel, Cintrifuse, Sv Angel, Y Combinator",22000000.0,$22M,Series A
Datacurve,,"Datacurve works with the world's leading foundation model labs and enterprises to provide high quality and complexity data, unlocking model improvements and new capabilities.",https://datacurve.ai/,AI,"Datacurve works with the world's leading foundation model labs and enterprises to provide high quality and complexity data, unlocking model improvements and new capabilities.",Startups Gallery,1.0,,"Chemistry, Y Combinator",15000000.0,$15M,Series A
Spellbook,,"Spellbook is a legal software startup that develops a generative artificial intelligence contract drafting tool for lawyers. The technology, which is powered by huge language models such as OpenAI's GPT-4, is optimized for contracting performance utilizing legal datasets.",https://www.spellbook.legal/,Productivity,"Spellbook is a legal software startup that develops a generative artificial intelligence contract drafting tool for lawyers. The technology, which is powered by huge language models such as OpenAI's GPT-4, is optimized for contracting performance utilizing legal datasets.",Startups Gallery,1.0,,"Bling Capital, Inovia Capital, Khosla Ventures, Threshold Ventures",50000000.0,$50M,Series B
n8n,,n8n is a workflow automation platform that uniquely combines AI capabilities with business process automation. The platform enables connection to any app or API while maintaining the flexibility of code with the speed of no-code.,https://n8n.io/,DevTools,n8n is a workflow automation platform that uniquely combines AI capabilities with business process automation. The platform enables connection to any app or API while maintaining the flexibility of code with the speed of no-code.,Startups Gallery,1.0,,"Accel, Felicis, Firstminute Capital, Harpoon Ventures, Highland Europe, Meritech Capital, Nventures, Redpoint Ventures, Sequoia Capital, Visionaries Club",180000000.0,$180M,Series C
MeritFirst,,"At MeritFirst, we’re on a mission to revolutionize how companies identify and evaluate talent, regardless of background. By rejecting outdated, unreliable proxies for capability and embracing objective, merit-based assessments, we are rebuilding the meritocratic infrastructure of opportunity from the ground up.",https://www.meritfirst.us/,HR & Recruiting,"At MeritFirst, we’re on a mission to revolutionize how companies identify and evaluate talent, regardless of background. By rejecting outdated, unreliable proxies for capability and embracing objective, merit-based assessments, we are rebuilding the meritocratic infrastructure of opportunity from the ground up.",Startups Gallery,1.0,,"8vc, Slow Ventures",6000000.0,$6M,Seed
Mastra,,Mastra is the Typescript framework for building AI agents and assistants. It’s used by some of the largest companies in the world to build internal AI automation tooling and customer-facing agents.,https://mastra.ai/,DevTools,Mastra is the Typescript framework for building AI agents and assistants. It’s used by some of the largest companies in the world to build internal AI automation tooling and customer-facing agents.,Startups Gallery,1.0,,"Basecase Capital, Gradient Ventures, Sv Angel, Y Combinator",13000000.0,$13M,Seed
Relace,,"Relace is purpose-built for coding workflows. Instead of relying on general-purpose LLMs, our in-house models specialize in retrieval, merging, and code generation — making them faster, more reliable, and easier to integrate into engineering pipelines. Teams use Relace to cut down errors, accelerate development, and gain a real competitive edge.",https://www.relace.ai/,AI,"Relace is purpose-built for coding workflows. Instead of relying on general-purpose LLMs, our in-house models specialize in retrieval, merging, and code generation — making them faster, more reliable, and easier to integrate into engineering pipelines. Teams use Relace to cut down errors, accelerate development, and gain a real competitive edge.",Startups Gallery,1.0,,"Andreessen Horowitz, Matrix Partners, Y Combinator",23000000.0,$23M,Series A
Monk,,"Monk is an AI-native accounts receivable platform that turns contracts into cash. We handle any invoice/collection exception, saving you time and increasing your cash on hand. Founded by ex-D.E. Shaw, Snap, and Google product leaders.",https://monk.com/,Fintech,"Monk is an AI-native accounts receivable platform that turns contracts into cash. We handle any invoice/collection exception, saving you time and increasing your cash on hand. Founded by ex-D.E. Shaw, Snap, and Google product leaders.",Startups Gallery,1.0,,Better Tomorrow Ventures,4000000.0,$4M,Seed
David AI,,"We are an audio data research company. Our mission is to bring AI into the real world through voice, the most important interface to human interaction.",https://withdavid.ai/,DevTools,"We are an audio data research company. Our mission is to bring AI into the real world through voice, the most important interface to human interaction.",Startups Gallery,1.0,,"Alt Capital, Amplify Partners, Boxgroup, First Round Capital, Meritech Capital, Sv Angel, Y Combinator",50000000.0,$50M,Series B
Stoke,,"Developer of reusable rockets designed to make space access sustainable and scalable. The company develops rockets to deliver satellites, that can be reused, are low-cost, on-demand and designed to fly daily, enabling clients to launch space missions and deliver new satellites to space in a sustainable and cost-efficient manner.",https://www.stokespace.com/,Aerospace,"Developer of reusable rockets designed to make space access sustainable and scalable. The company develops rockets to deliver satellites, that can be reused, are low-cost, on-demand and designed to fly daily, enabling clients to launch space missions and deliver new satellites to space in a sustainable and cost-efficient manner.",Startups Gallery,1.0,,"Glade Brook Capital, Nfx, Seven Seven Six, United States Innovative Technology",510000000.0,$510M,Series D
Crosby,,"Crosby is the hybrid AI law firm that helps businesses execute faster. Our lawyer-assisted agents negotiate NDAs, MSAs and DPAs in under 60 minutes.",https://crosby.ai/,Productivity,"Crosby is the hybrid AI law firm that helps businesses execute faster. Our lawyer-assisted agents negotiate NDAs, MSAs and DPAs in under 60 minutes.",Startups Gallery,1.0,,"Bain Capital Ventures, Index Ventures, Sequoia Capital",20000000.0,$20M,Series A
Base,,"Base is building the foundation of American power.  The grid is the largest, most complex machine in the world. But it’s aging, struggling to keep up with today’s demand, and is unprepared for our electrified future. Base is modernizing the grid as the first engineering-led, technology-driven power company. We’re deploying a nationwide network of distributed batteries that strengthens critical infrastructure and saves Americans money.",https://www.basepowercompany.com/,Infrastructure,"Base is building the foundation of American power.  The grid is the largest, most complex machine in the world. But it’s aging, struggling to keep up with today’s demand, and is unprepared for our electrified future. Base is modernizing the grid as the first engineering-led, technology-driven power company. We’re deploying a nationwide network of distributed batteries that strengthens critical infrastructure and saves Americans money.",Startups Gallery,1.0,,"Andreessen Horowitz, Addition, Altimeter Capital, Lightspeed Venture Partners, Terrain, Thrive Capital, Trust Ventures, Valor Equity Partners",1000000000.0,$1B,Series C
Quilter,,"Quliter removes the manual layout bottleneck to make PCB design instant, infinite, and autonomous, so engineers can innovate instead of routing traces.",https://www.quilter.ai/,Hardware,"Quliter removes the manual layout bottleneck to make PCB design instant, infinite, and autonomous, so engineers can innovate instead of routing traces.",Startups Gallery,1.0,,"Benchmark, Coatue, Index Ventures",25000000.0,$25M,Series B
FurtherAI,,"FurtherAI is a domain-specific AI for the insurance industry. Our AI Workspace automates complex workflows like submission intake, policy comparisons, and underwriting audits—making teams faster, smarter, and more efficient.",https://www.furtherai.com/,AI,"FurtherAI is a domain-specific AI for the insurance industry. Our AI Workspace automates complex workflows like submission intake, policy comparisons, and underwriting audits—making teams faster, smarter, and more efficient.",Startups Gallery,1.0,,"Andreessen Horowitz, Nexus Venture Partners, Pioneer Fund, South Park Commons, Y Combinator",25000000.0,$25M,Series A
Supermemory,,"Supermemory is an open-source AI platform that enables users to organize, search, and understand all the saved content on the internet.",https://supermemory.ai/,DevTools,"Supermemory is an open-source AI platform that enables users to organize, search, and understand all the saved content on the internet.",Startups Gallery,1.0,,,3000000.0,$3M,Pre-Seed
Filigran,,"Filigran, founded in October 2022, stands out in the cybertech ecosystem for its commitment to revolutionizing cyber threat management with a proactive approach. Its mission is to develop innovative open-source solutions designed to anticipate cyber threats, identify security gaps, and strengthen organizational security posture",https://filigran.io/,Cybersecurity,"Filigran, founded in October 2022, stands out in the cybertech ecosystem for its commitment to revolutionizing cyber threat management with a proactive approach. Its mission is to develop innovative open-source solutions designed to anticipate cyber threats, identify security gaps, and strengthen organizational security posture",Startups Gallery,1.0,,"Accel, Eurazeo, Firestreak Ventures, Insight Partners",35000000.0,$35M,Series B
Heidi Health,,"Heidi is the AI Care Partner designed to expand clinical capacity by automating administrative work – documentation, form filling, and task management - so clinicians can focus on patients. Used across emergency departments, general practice, and specialist clinics, Heidi supports more than 2 million consults each week in 110 languages from 116 countries.",https://www.heidihealth.com/,Healthcare,"Heidi is the AI Care Partner designed to expand clinical capacity by automating administrative work – documentation, form filling, and task management - so clinicians can focus on patients. Used across emergency departments, general practice, and specialist clinics, Heidi supports more than 2 million consults each week in 110 languages from 116 countries.",Startups Gallery,1.0,,"Blackbird, Headline, Localglobe, Point72 Ventures",65000000.0,$65M,Series B
Supabase,,Supabase is an open-source Firebase alternative that adds real-time and RESTful APIs to your PostgreSQL database without a single line of code. Supabase helps developers by providing a Postgres database with a self-documenting API based on the data inside.,https://supabase.com/,DevTools,Supabase is an open-source Firebase alternative that adds real-time and RESTful APIs to your PostgreSQL database without a single line of code. Supabase helps developers by providing a Postgres database with a self-documenting API based on the data inside.,Startups Gallery,1.0,,"Accel, Basecase Capital, Coatue, Craft Ventures, Felicis, Flex Capital, Peak Xv, Y Combinator",100000000.0,$100M,Series E
Axiom,,"San Francisco, United States",https://axiom.co/,,"San Francisco, United States",Startups Gallery,1.0,,"Crane Venture Partners, Localglobe, Mango Capital, Nfdg Ventures",,,
